pickup_community,trip_start_timestamp,median_fare,median_trip_miles,median_trip_minutes,total_trip
Albany Park,2022-06-01,19.75,3.8,20.18,39
Albany Park,2022-06-02,19.75,4.0,21.8,43
Albany Park,2022-06-03,23.195,4.98,27.25,42
Albany Park,2022-06-04,12.31,2.4,11.82,29
Albany Park,2022-06-05,19.75,6.2,22.0,33
Albany Park,2022-06-06,21.25,6.029999999999999,23.509999999999998,42
Albany Park,2022-06-07,22.75,6.07,22.42,41
Albany Park,2022-06-08,19.875,5.3149999999999995,25.0,42
Albany Park,2022-06-09,16.0,3.39,20.0,53
Albany Park,2022-06-10,19.0,5.79,23.5,45
Albany Park,2022-06-11,17.875,4.895,19.990000000000002,42
Albany Park,2022-06-12,16.5,4.16,21.08,29
Albany Park,2022-06-13,16.25,5.295,19.91,40
Albany Park,2022-06-14,18.75,4.32,22.0,34
Albany Park,2022-06-15,21.125,4.05,21.990000000000002,32
Albany Park,2022-06-16,20.75,4.75,24.0,42
Albany Park,2022-06-17,20.5,3.52,23.65,31
Albany Park,2022-06-18,16.69,4.18,17.0,49
Albany Park,2022-06-19,24.25,4.3,23.0,31
Albany Park,2022-06-20,15.25,4.9,16.23,41
Albany Park,2022-06-21,18.25,4.45,19.814999999999998,40
Albany Park,2022-06-22,24.875,4.66,23.925,32
Albany Park,2022-06-23,12.75,2.75,14.43,41
Albany Park,2022-06-24,17.875,3.63,17.200000000000003,50
Albany Park,2022-06-25,19.5,1.845,17.615000000000002,30
Albany Park,2022-06-26,15.625,4.35,19.299999999999997,26
Albany Park,2022-06-27,19.0,4.49,21.0,39
Albany Park,2022-06-28,23.125,7.529999999999999,23.5,36
Albany Park,2022-06-29,19.24,4.5,18.28,29
Albany Park,2022-06-30,23.75,6.12,25.0,39
Albany Park,2022-07-01,21.125,4.72,24.3,39
Albany Park,2022-07-02,19.25,5.22,20.134999999999998,40
Albany Park,2022-07-03,14.25,4.0,17.0,25
Albany Park,2022-07-04,16.375,4.845,17.5,26
Albany Park,2022-07-05,17.75,2.5300000000000002,18.36,34
Albany Park,2022-07-06,23.75,4.5,22.53,37
Albany Park,2022-07-07,21.125,4.85,25.490000000000002,38
Albany Park,2022-07-08,21.5,6.825,22.91,30
Albany Park,2022-07-09,14.745000000000001,3.74,16.15,38
Albany Park,2022-07-10,18.125,4.505,16.384999999999998,34
Albany Park,2022-07-11,20.0,4.925,20.165,24
Albany Park,2022-07-12,17.25,4.24,20.0,31
Albany Park,2022-07-13,22.25,3.85,22.0,37
Albany Park,2022-07-14,16.125,1.935,14.375,38
Albany Park,2022-07-15,17.0,3.9,19.0,31
Albany Park,2022-07-16,11.0,2.72,13.0,33
Albany Park,2022-07-17,10.25,2.205,12.675,34
Albany Park,2022-07-18,14.0,2.35,15.0,41
Albany Park,2022-07-19,20.5,4.08,22.2,41
Albany Park,2022-07-20,16.0,4.7,22.47,31
Albany Park,2022-07-21,18.5,2.3449999999999998,20.235,36
Albany Park,2022-07-22,21.5,4.57,23.314999999999998,30
Albany Park,2022-07-23,15.0,4.6,11.62,23
Albany Park,2022-07-24,18.5,4.0,16.65,23
Albany Park,2022-07-25,19.0,4.9,22.055,44
Albany Park,2022-07-26,14.375,2.98,20.424999999999997,22
Albany Park,2022-07-27,19.75,4.25,25.78,34
Albany Park,2022-07-28,16.0,4.25,20.5,30
Albany Park,2022-07-29,14.875,3.45,16.900000000000002,34
Albany Park,2022-07-30,16.75,3.44,18.05,23
Albany Park,2022-07-31,15.0,2.86,15.12,35
Albany Park,2022-08-01,17.5,3.02,18.735,36
Albany Park,2022-08-02,20.25,3.5300000000000002,21.4,32
Albany Park,2022-08-03,18.5,5.3149999999999995,25.0,28
Albany Park,2022-08-04,19.0,5.33,23.0,23
Albany Park,2022-08-05,20.25,4.635,23.41,38
Albany Park,2022-08-06,15.5,3.0,17.0,25
Albany Park,2022-08-07,11.25,2.0,9.53,35
Albany Park,2022-08-08,21.25,4.16,19.0,33
Albany Park,2022-08-09,17.5,3.1,21.62,29
Albany Park,2022-08-10,22.875,6.28,27.46,40
Albany Park,2022-08-11,18.375,4.34,22.235,36
Albany Park,2022-08-12,22.125,4.91,22.41,38
Albany Park,2022-08-13,14.25,3.55,15.04,34
Albany Park,2022-08-14,16.75,3.44,14.05,29
Albany Park,2022-08-15,13.75,2.93,16.0,49
