pickup_community,population_size,population_std,population_moe,required_sample,weekend_size,weekday_size,weekend_std,weekday_std,nh_weekend_size,nh_weekday_size,mean_trip_population,mean_trip_samples,estimate_variance,margin_of_error,CI_lower_bound,CI_upper_bound
Near North Side,365,1119.0961050229714,202.91027397260277,89,105,260,1064.6812165419012,1107.2967866522163,25,64,4058,4055,158.9998683519052,25,4030,4080
Loop,365,1047.0885120800733,141.1395890410959,135,105,260,632.8003395860496,933.5315270672502,29,106,2823,2823,50.808115076596174,14,2809,2837
Ohare,365,899.777274504746,135.82246575342467,116,105,260,886.5661728007553,877.6135967753834,34,82,2716,2715,77.3885213568819,17,2698,2732
Near West Side,365,478.99686896858736,72.72958904109589,115,105,260,236.80640112066567,359.8183892263196,24,91,1455,1456,8.90670014205813,6,1450,1462
Near South Side,365,420.9173676720268,31.438493150684934,239,105,260,394.68020230043476,429.61100747742455,65,174,629,630,6.917228116082193,5,625,635
Lake View,365,192.91180393523433,31.399315068493152,104,105,260,244.44478915504607,154.99050930446668,40,64,628,628,4.492204449913259,4,624,632
Garfield Ridge,365,177.4207278252749,25.12178082191781,126,105,260,165.14590174893493,172.36788848648402,35,91,502,503,2.6016556858976054,3,500,506
Lincoln Park,365,127.36144342899355,20.625753424657535,105,105,260,160.48443033812464,108.65228364244693,39,66,413,412,2.0174078853523403,3,409,415
Uptown,365,50.42105864815775,13.781506849315068,46,105,260,65.06288589418027,38.289072901457196,19,27,276,275,0.7163913132477592,2,273,277
West Town,365,70.08626488167262,10.384246575342466,119,105,260,82.3944913073817,60.41907048121543,42,77,208,208,0.4943756052645686,1,207,209
Edgewater,365,35.05475212500062,10.41041095890411,40,105,260,38.976105669843584,24.803132197272316,16,24,208,208,0.3143334402265956,1,207,209
West Ridge,365,23.59379193587994,6.464383561643835,45,105,260,21.185436285871262,15.289991601823829,16,29,129,129,0.09381582549564187,1,128,130
Hyde Park,365,33.94953396647323,6.087123287671233,91,105,260,31.512053627295124,23.345500950127725,32,59,122,122,0.09878160941478858,1,121,123
